,index,d,lat,lon,time,apparentTemperature,cloudCover,cloudCoverError,data,dewPoint,dewPointError,humidity,humidityError,icon,isd-stations,precipIntensity,precipProbability,precipType,pressure,pressureError,sources,summary,temperature,temperatureError,units,visibility,visibilityError,windBearing,windBearingError,windSpeed,windSpeedError,fire
637,637,2016-08-10 17:07:10.000000,35.7958750579,-87.8334737124,1470830400,76.78,0.29,,,74.09,,0.91,,partly-cloudy-day,,0,0,,1017.5,,,Partly Cloudy,76.78,,,9.73,,113.0,,4.27,,0.0
638,638,2016-05-13 16:10:43.000000,46.3961234973,-111.923764267,1463140800,35.81,0.91,,,32.21,,0.87,,partly-cloudy-night,,0,0,,1029.46,,,Mostly Cloudy,35.81,,,9.57,,303.0,,2.82,,0.0
639,639,2016-05-21 18:44:34.000000,48.6014938231,-76.5468074127,1463832000,53.41,1,,,40.26,,0.61,,cloudy,,0,0,,1017.62,,,Overcast,53.41,,,9.81,,314.0,,4.71,,0.0
640,640,2016-05-14 09:03:51.000000,31.5646139182,-122.519716188,1463227200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
641,641,2016-06-15 14:27:55.000000,36.0274539221,-95.9129649503,1465992000,78.3,0.05,,,73.56,,0.85,,clear-day,,0,0,,1010.6,,,Clear,78.3,,,9.35,,190.0,,7.4,,0.0
642,642,2016-08-12 01:11:21.000000,32.2493726007,-110.231726506,1471003200,71.43,0.04,,,65.81,,0.82,,clear-night,,0,0,,1012.93,,,Clear,71.43,,,10,,267.0,,3.59,,0.0
643,643,2016-08-31 16:43:53.000000,31.7061412389,-96.9357976005,1472644800,73.33,0.02,,,72.15,,0.96,,clear-night,,0,0,,1015.7,,,Clear,73.33,,,8.93,,329.0,,2.23,,0.0
644,644,2016-08-13 19:32:03.000000,39.539082138,-95.9411799826,1471089600,64.26,0,,,63.19,,0.96,,clear-day,,0,0,,1014.93,,,Clear,64.26,,,9.39,,317.0,,4.13,,0.0
645,645,2016-09-19 05:44:35.000000,35.3866481438,-79.1642314389,1474286400,76.04,1,,,75.05,,0.97,,rain,,0.0607,0.75,rain,1014.59,,,Light Rain,76.04,,,6.36,,123.0,,3.21,,0.0
646,646,2016-05-15 21:17:59.000000,44.8993682551,-68.772115733,1463313600,53.32,0.31,,,49.54,,0.87,,rain,,0.0087,0.46,rain,997.22,,,Drizzle,53.32,,,6.6,,174.0,,7.76,,0.0
647,647,2016-09-19 16:52:50.000000,29.4609786925,-73.093413318,1474286400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
