,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,visibility,windBearing,windSpeed,elevation,fire
165,-2.05,1.0,5.09,0.77,cloudy,0.0,0.0,,1019.58,9.59,12.0,9.45,543.0,1
166,-5.47,0.45,2.18,0.78,partly-cloudy-night,0.0,0.0,,1018.09,10.0,311.0,8.49,579.0,1
167,-2.27,1.0,6.48,0.82,cloudy,,,snow,1017.8,3.45,155.0,9.96,579.0,1
168,-7.43,0.31,2.01,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,9.98,593.0,1
169,-7.43,0.31,2.01,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,9.98,593.0,1
170,-5.69,0.44,1.95,0.78,partly-cloudy-night,0.0,0.0,,1018.1,10.0,310.0,8.42,589.0,1
171,-5.65,0.44,1.91,0.78,partly-cloudy-night,0.0,0.0,,1018.13,10.0,311.0,8.35,589.0,1
172,-5.65,0.44,1.91,0.78,partly-cloudy-night,0.0,0.0,,1018.13,10.0,311.0,8.35,480.0,1
173,-5.59,0.45,2.08,0.78,partly-cloudy-night,0.0,0.0,,1018.09,10.0,311.0,8.47,480.0,1
174,-5.59,0.45,2.08,0.78,partly-cloudy-night,0.0,0.0,,1018.09,10.0,311.0,8.47,594.0,1
175,-5.46,0.46,2.1,0.78,partly-cloudy-night,0.0,0.0,,1018.13,10.0,312.0,8.39,594.0,1
176,-5.46,0.46,2.1,0.78,partly-cloudy-night,0.0,0.0,,1018.13,10.0,312.0,8.39,444.0,1
177,-5.9,0.43,1.94,0.79,partly-cloudy-night,0.0,0.0,,1018.01,10.0,309.0,8.57,444.0,1
178,-5.9,0.43,1.94,0.79,partly-cloudy-night,0.0,0.0,,1018.01,10.0,309.0,8.57,594.0,1
179,-7.43,0.31,2.01,0.8,partly-cloudy-night,,,snow,1017.31,10.0,300.0,9.98,594.0,1
180,-7.43,0.31,2.01,0.8,partly-cloudy-night,,,snow,1017.31,10.0,300.0,9.98,593.0,1
181,-6.47,0.38,1.92,0.79,partly-cloudy-night,0.0,0.0,,1017.76,10.0,305.0,9.01,593.0,1
