"Geographic name","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011"
T8A,,44954,16387,16176
T8B,,6419,2256,2082
T8C,,4414,1563,1505
T8E,,8189,2903,2811
T8G,,5064,1922,1806
T8H,,22995,8890,8573
T8L,,21254,8925,8108
T8N,,61544,23018,22541
T8R,,12813,4597,4364
T8S,,8349,3477,3163
T8T,,5362,1769,1698
T8V,,35773,15840,14452
T8W,,14888,5372,5119
T8X,,12446,4580,4389
T9A,,15451,6535,6184
T9C,,6925,3175,2902
T9E,,27076,10866,10346
T9G,,6510,2471,2387
T9H,,27096,12100,9798
T9J,,4535,1762,1583
T9K,,32434,13472,11178
T9M,,17417,6973,6339
T9N,,10821,4245,3946
T9S,,7458,3630,2871
T9V,,18951,7767,7244
T9W,,7714,3317,3020
T9X,,5659,2548,2293
V0A,,13197,9172,5581
V0B,,31610,19797,13715
V0C,,27439,11749,10229
V0E,,64561,36828,27846
V0G,,25770,13228,11283
V0H,,51870,28093,22651
V0J,,53578,24214,20710
V0K,,32533,18668,14267
V0L,,4846,2732,1963
V0M,,11207,5365,4274
V0N,,76287,47098,32442
V0P,,7029,4538,3155
V0R,,63089,31651,27016
V0S,,268,147,111
V0T,,8830,4467,3589
V0V,,2202,959,743
V0W,,386,460,223
V0X,,19974,10736,8601
V1A,,7574,3862,3354
V1B,,20468,8804,7694
V1C,,24355,10643,10115
V1E,,19133,8432,7955
V1G,,14539,6640,5987
V1H,,12423,6909,5320
V1J,,23959,10135,9313
V1K,,9772,4405,3946
V1L,,16512,8021,7364
V1M,,30664,11292,10984
V1N,,12169,5571,5157
V1P,,7088,3111,2485
V1R,,9989,5120,4710
V1S,,10530,4312,3984
V1T,,27120,12931,12014
V1V,,18855,8299,7596
V1W,,31679,14010,12712
V1X,,32197,14523,13122
V1Y,,31344,17438,15293
V1Z,,13381,6005,5151
V2A,,36594,18145,16750
V2B,,37512,16089,15352
V2C,,22781,10957,10181
V2E,,14076,5491,5273
V2G,,18409,8294,7592
V2H,,6066,2723,2493
V2J,,23107,10322,9658
V2K,,20478,8516,8000
V2L,,9470,4975,4202
V2M,,23054,10721,9776
V2N,,30969,12786,11873
V2P,,34689,15586,14590
V2R,,44088,17992,16796
V2S,,46674,19648,18227
V2T,,52912,18449,17132
V2V,,31985,12803,11426
V2W,,16376,5502,5239
V2X,,46460,19127,18455
V2Y,,23950,8820,8170
V2Z,,15090,5989,5709
V3A,,40689,17723,16995
V3B,,49852,19649,18768
V3C,,37575,14230,13710
V3E,,33970,11253,10698
V3G,,23259,8135,7745
V3H,,36534,14297,13825
V3J,,39659,16378,15550
V3K,,29992,11969,11266
V3L,,25743,12420,11679
V3M,,40183,20170,18894
V3N,,37216,14292,13588
V3R,,55219,20532,19349
