"","FIRE_NAME","FIRE_DAY","FIRE_MONTH","FIRE_YEAR","DATA_SOURC","CAUSE","REPORTED_A","SIZE_CLASS","AGENCY","COMMENTS","IGNITION_D","CONT_DATE","REGION_NUM","FOREST_NUM","ICS_CODE","ACRES","HA","SIZE_CLASS_"
"865","",0,0,1945,"UNKNOWN",9,0,"G","USF","",19450000,19450000,5,6,"LNF",6358.05,2573.01,"5000+ acres"
"866","",0,0,1945,"UNKNOWN",9,0,"F","USF","",19450000,19450000,5,13,"SQF",1588.72,642.93,"1000-4999.9 acres"
"867","",0,0,1945,"UNKNOWN",9,0,"C","USF","",19450000,19450000,5,13,"SQF",42.25,17.1,"10-99.9 acres"
"868","",0,0,1913,"UNKNOWN",9,0,"E","USF","",19130000,19130000,5,2,"CNF",402.77,162.99,"300-999.9 acres"
"869","",0,0,1913,"UNKNOWN",9,0,"F","USF","",19130000,19130000,5,2,"CNF",1008.26,408.03,"1000-4999.9 acres"
"870","",0,0,1913,"UNKNOWN",9,0,"F","USF","",19130000,19130000,5,2,"CNF",2248.47,909.92,"1000-4999.9 acres"
"871","",0,0,1920,"UNKNOWN",9,0,"D","USF","",19200000,19200000,5,6,"LNF",250.49,101.37,"100-299.9 acres"
"872","",0,0,1920,"UNKNOWN",1,0,"D","USF","",19200000,19200000,5,6,"LNF",235.64,95.36,"100-299.9 acres"
"873","KNEE CAP",0,0,1920,"UNKNOWN",1,0,"F","USF","",19200000,19200000,5,8,"MNF",1425.26,576.78,"1000-4999.9 acres"
"874","",0,0,1920,"UNKNOWN",9,0,"B","USF","",19200000,19200000,5,13,"SQF",3.61,1.46,"0.26-9.9 acres"
"875","",0,0,1920,"UNKNOWN",9,0,"E","USF","",19200000,19200000,5,13,"SQF",512.21,207.29,"300-999.9 acres"
"876","",0,0,1920,"UNKNOWN",9,0,"E","USF","",19200000,19200000,5,2,"CNF",918.41,371.67,"300-999.9 acres"
"877","",0,0,1920,"UNKNOWN",1,0,"E","USF","",19200000,19200000,5,15,"SNF",990.47,400.83,"300-999.9 acres"
"878","",0,0,1925,"UNKNOWN",1,0,"B","USF","",19250000,19250000,5,13,"SQF",8,3.24,"0.26-9.9 acres"
"879","",0,0,1925,"UNKNOWN",1,0,"C","USF","",19250000,19250000,5,13,"SQF",75.95,30.73,"10-99.9 acres"
"880","",0,0,1925,"UNKNOWN",9,0,"E","USF","",19250000,19250000,5,13,"SQF",333.53,134.97,"300-999.9 acres"
"881","",0,0,1926,"UNKNOWN",9,0,"E","USF","",19260000,19260000,5,15,"SNF",540.48,218.73,"300-999.9 acres"
"882","",0,0,1926,"UNKNOWN",1,0,"E","USF","",19260000,19260000,5,15,"SNF",604.11,244.48,"300-999.9 acres"
"883","",0,0,1926,"UNKNOWN",1,0,"E","USF","",19260000,19260000,5,15,"SNF",423.7,171.46,"300-999.9 acres"
"884","MC HALE GULCH #2",19,8,1929,"UNKNOWN",5,0,"D","USF","",19290819,19290000,5,10,"SRF",138.21,55.93,"100-299.9 acres"
"885","BOISE CREEK #1",21,8,1929,"UNKNOWN",5,0,"E","USF","",19290821,19290000,5,10,"SRF",304.55,123.25,"300-999.9 acres"
"886","SCHNABLE",15,11,1929,"UNKNOWN",5,0,"D","USF","",19291115,19290000,5,10,"SRF",156.71,63.42,"100-299.9 acres"
"887","S.F. RED CAP #1",26,8,1929,"UNKNOWN",5,0,"D","USF","",19290826,19290000,5,10,"SRF",113.19,45.81,"100-299.9 acres"
"888","BEAR CREEK RIDGE",10,5,1929,"UNKNOWN",7,0,"C","USF","",19290510,19290000,5,5,"KNF",14.21,5.75,"10-99.9 acres"
"889","RED BANK",0,0,1929,"UNKNOWN",4,0,"G","USF","",19290000,19290000,5,8,"MNF",7033.89,2846.51,"5000+ acres"
"890","",0,0,1958,"UNKNOWN",9,0,"C","USF","",19580000,19580000,5,13,"SQF",44.39,17.97,"10-99.9 acres"
"891","",0,0,1958,"UNKNOWN",9,0,"B","USF","",19580000,19580000,5,13,"SQF",4.99,2.02,"0.26-9.9 acres"
"892","",0,0,1958,"UNKNOWN",1,0,"D","USF","",19580000,19580000,5,13,"SQF",261.15,105.68,"100-299.9 acres"
"893","",0,0,1958,"UNKNOWN",9,0,"D","USF","",19580000,19580000,5,13,"SQF",185.56,75.09,"100-299.9 acres"
"894","",0,0,1958,"UNKNOWN",9,0,"C","USF","",19580000,19580000,5,2,"CNF",41.04,16.61,"10-99.9 acres"
"895","WARRING CANYON",28,8,1967,"UNKNOWN",9,0,"F","CCO","",19670828,19670000,5,7,"VNC",4268.92,1727.57,"1000-4999.9 acres"
"896","",0,0,1927,"UNKNOWN",9,0,"F","USF","",19270000,19270000,5,2,"CNF",2898.57,1173.01,"1000-4999.9 acres"
"897","",0,0,1932,"UNKNOWN",9,0,"E","USF","",19320000,19320000,5,14,"SHF",319.12,129.14,"300-999.9 acres"
"898","",0,0,1932,"UNKNOWN",9,0,"F","USF","",19320000,19320000,5,15,"SNF",1171.04,473.9,"1000-4999.9 acres"
"899","",0,0,1941,"UNKNOWN",9,0,"E","USF","",19410000,19410000,5,6,"LNF",845.01,341.96,"300-999.9 acres"
"900","",0,0,1941,"UNKNOWN",9,0,"F","USF","",19410000,19410000,5,6,"LNF",2143.71,867.53,"1000-4999.9 acres"
